title,productor
"Pathology","Camelot Pictures"
"10th & Wolf","Thinkfilm"
"Dear Wendy","Zentropa Entertainments"
"Dear Wendy","Nimbus Film Productions"
"Dear Wendy","Lucky Punch"
"Aloft","Arcadia Motion Pictures"
"Aloft","Wanda Visión S.A."
"Aloft","Buffalo Gal Pictures"
"The Death and Life of Bobby Z","Eclectic pictures"
"The Death and Life of Bobby Z","Millennium Films"
"Swelter","Grand Peaks Entertainment"
"Swelter","Exchange Peaks Film Capital"
"Swelter","Film Invaders"
"Imagine Me & You","BBC Films"
"Imagine Me & You","Filmstiftung Nordrhein-Westfalen"
"Imagine Me & You","X-Filme Creative Pool"
"Imagine Me & You","Ealing Studios"
"Imagine Me & You","Fragile Films"
"Imagine Me & You","Focus Features"
"Imagine Me & You","RTL"
"Imagine Me & You","Cougar Films Ltd."
"Imagine Me & You","Minotaur Film Partnership No. 3"
"Mr. Church","Envision Media Arts"
"Mr. Church","Cinelou Films"
"Mr. Church","Shenghua Entertainment"
"Swimming Pool","France 2 Cinéma"
"Swimming Pool","Canal Plus"
"Swimming Pool","Fidélité Productions"
"Swimming Pool","Gimages"
"Swimming Pool","FOZ"
"Swimming Pool","Headforce Ltd."
"The Blood of Heroes","Handistom Investment"
"The Blood of Heroes","Kings Road Entertainment"
"The Blood of Heroes","Kamisha Corporation"
"Code of Honor","Steamroller Productions"
"Code of Honor","Premiere Entertainment Group"
"Driving Miss Daisy","The Zanuck Company"
"Driving Miss Daisy","Majestic Films International"
"Soul Food","Fox 2000 Pictures"
"Soul Food","Edmonds Entertainment Group (EEG)"
"Loin des hommes","Procirep"
"Loin des hommes","Canal+"
"Loin des hommes","One World Films"
"Loin des hommes","Pathé"
"Loin des hommes","Ciné+"
"Loin des hommes","Centre National de la Cinématographie (CNC)"
"Loin des hommes","Media Programme of the European Community"
"Loin des hommes","Backup Media"
"Loin des hommes","Cinémage 8"
"Loin des hommes","Indéfilms 2"
"Loin des hommes","Perceval Pictures"
"Loin des hommes","Kaléo Films"
"Loin des hommes","Jouror Développement"
"Loin des hommes","B Media 2012"
"Loin des hommes","SofiTVCiné"
"Loin des hommes","Dévelopimage 2"
"Loin des hommes","Ciclic - Région Centre"
"Thank You for Smoking","Fox Searchlight Pictures"
"Thank You for Smoking","Room 9 Entertainment"
"An Education","BBC Films"
"Shopgirl","Epsilon Motion Pictures"
"Shopgirl","Hyde Park Films"
"Shopgirl","Shopgirl"
"Shopgirl","Touchstone Pictures"
"The Hotel New Hampshire","Orion Pictures"
"The Hotel New Hampshire","Woodfall Film Productions"
"The Hotel New Hampshire","Filmline Productions"
"Narc","Paramount Pictures"
"Narc","Lions Gate Films"
"Narc","Cruise/Wagner Productions"
"Witless Protection","Parallel Films"
"Extract","Miramax Films"
"Masked and Anonymous","BBC Films"
"Masked and Anonymous","Intermedia Films"
"Code 46","BBC Films"
"Albert Nobbs","Chrysalis Films"
"Black November","Wells & Jeta Entertainment"
"Ta Ra Rum Pum","Yash Raj Films"
"Persepolis","Sony Pictures Classics"
"Persepolis","Procirep"
"Persepolis","Soficinéma"
"Persepolis","France 3 Cinéma"
"Persepolis","Diaphana Films"
"Persepolis","Sofica Europacorp"
"Persepolis","Celluloid Dreams"
"Persepolis","The Kennedy/Marshall Company"
"Persepolis","Région Ile-de-France"
"Persepolis","Centre National de la Cinématographie (CNC)"
"Persepolis","Fondation GAN pour le Cinéma"
"Persepolis","2.4.7. Films"
"Persepolis","French Connection Animations"
"Persepolis","Société des Producteurs de L'Angoa"
"The Hole","Bold Films"
"The Hole","BenderSpink"
"Die Welle","Constantin Film Produktion"
"The Neon Demon","Bold Films"
"The Neon Demon","Amazon Studios"
"The Neon Demon","Vendian Entertainment"
"The Neon Demon","Space Rocket Nation"
"Harry Brown","HanWay Films"
"Harry Brown","UK Film Council"
"Harry Brown","Marv Films"
"The Omega Code","Code Productions"
"Juno","Fox Searchlight Pictures"
"Juno","Mandate Pictures"
"Pound of Flesh","Odyssey Media"
"Pound of Flesh","Rodin Entertainment"
"Pound of Flesh","Ace Film Company"
"Pound of Flesh","Chunqiu Time Culture Co."
"Diamonds Are Forever","United Artists"
"Diamonds Are Forever","Eon Productions"
"Diamonds Are Forever","Danjaq"
"The Godfather","Paramount Pictures"
"The Godfather","Alfran Productions"
"Flashdance","Paramount Pictures"
"(500) Days of Summer","Fox Searchlight Pictures"
"(500) Days of Summer","Watermark"
"(500) Days of Summer","Dune Entertainment III"
"The Piano","New South Wales Film & Television Office"
"The Piano","The Australian Film Commission"
"The Piano","CiBy 2000"
"The Piano","Jan Chapman Productions"
"Magic Mike","Extension 765"
"Magic Mike","Iron Horse Entertainment (II)"
"Darkness Falls","Village Roadshow Pictures"
"Darkness Falls","Revolution Studios"
"Darkness Falls","Distant Corners Entertainment Group Inc."
"Darkness Falls","Blue Star Productions"
"Darkness Falls","Morningstar Films"
"Live and Let Die","United Artists"
"Live and Let Die","Eon Productions"
"Live and Let Die","Danjaq"
"My Dog Skip","Alcon Entertainment"
"My Dog Skip","Warner Bros."
"Definitely, Maybe","Universal Pictures"
"Definitely, Maybe","StudioCanal"
"Definitely, Maybe","Working Title Films"
"Definitely, Maybe","Ringerike Erste Filmproduktion"
"Jumping the Broom","TriStar Pictures"
"Jumping the Broom","Stage 6 Films"
"Jumping the Broom","Sony Pictures Worldwide Acquisitions (SPWA)"
"Jumping the Broom","TDJ Enterprises / New Dimensions Entertainment"
"Jumping the Broom","Our Stories Films"
"Good Night, and Good Luck.","2929 Productions"
"Good Night, and Good Luck.","Participant Productions"
"Good Night, and Good Luck.","Warner Independent Pictures (WIP)"
"Good Night, and Good Luck.","Davis Films"
"Good Night, and Good Luck.","Section Eight Productions"
"Good Night, and Good Luck.","Redbus Pictures"
"Good Night, and Good Luck.","Tohokushinsha"
"Capote","Sony Pictures Classics"
"Capote","Cooper's Town Productions"
"Capote","Eagle Vision Inc."
"Capote","Manitoba Film and Video Production Tax Credit"
"Capote","Province of British Columbia Production Services Tax Credit"
"Capote","Infinity Media"
"Capote","A-Line Pictures"
"Desperado","Columbia Pictures"
"Desperado","Los Hooligans Productions"
"Logan's Run","Metro-Goldwyn-Mayer (MGM)"
"The Man with the Golden Gun","United Artists"
"The Man with the Golden Gun","Eon Productions"
"The Man with the Golden Gun","Danjaq"
"Action Jackson","Silver Pictures"
"Action Jackson","Lorimar Motion Pictures"
"The Descent","Celador Films"
"The Descent","Pathé"
"The Descent","Northmen Productions"
"Michael Jordan to the Max","IMAX"
"Devil's Due","Twentieth Century Fox Film Corporation"
"Devil's Due","Davis Entertainment"
"Devil's Due","TSG Entertainment"
"Flirting with Disaster","Miramax Films"
"The Devil's Rejects","Lions Gate Films"
"The Devil's Rejects","Cinerenta Medienbeteiligungs KG"
"The Devil's Rejects","Firm Films"
"The Devil's Rejects","Cinelamda Internationale Filmproduktionsgesellschaft"
"Dope","Forest Whitaker's Significant Productions"
"Dope","Revolt Films"
"Dope","IamOTHER Entertainment"
"In Too Deep","Suntaur Entertainment Company"
"House of 1000 Corpses","Universal Pictures"
"House of 1000 Corpses","Spectacle Entertainment Group"
"A Serious Man","Mike Zoss Productions"
"A Serious Man","Studio Canal"
"A Serious Man","Relativity Media"
"A Serious Man","Focus Features"
"A Serious Man","Working Title Films"
"Get Low","K5 International"
"Get Low","Zanuck Independent"
"Get Low","David Gundlach Productions"
"Warlock","New World Pictures"
"Beyond the Lights","Relativity Media"
"Beyond the Lights","Homegrown Pictures"
"Beyond the Lights","Black Entertainment Television (BET)"
"Beyond the Lights","Relativity Sports"
"Beyond the Lights","Undisputed Cinema"
"A Single Man","Depth of Field"
"A Single Man","Artina Films"
"A Single Man","Fade to Black Productions"
"The Last Temptation of Christ","Universal Pictures"
"The Last Temptation of Christ","Cineplex-Odeon Films"
"Outside Providence","Miramax Films"
"Outside Providence","Eagle Beach Productions"
"Rabbit-Proof Fence","Showtime Australia"
"Rabbit-Proof Fence","Australian Film Finance Corporation (AFFC)"
"Rabbit-Proof Fence","Rumbalara Films"
"Rabbit-Proof Fence","Olsen Levy"
"Who's Your Caddy?","The Weinstein Company"
"Who's Your Caddy?","Dimension Films"
"Who's Your Caddy?","Metro-Goldwyn-Mayer (MGM)"
"Split Second","Entertainment"
"Split Second","Muse Productions"
"Split Second","Challenge Film Corporation"
"Split Second","XYZ Funding N.V."
"The Other Side of Heaven","3Mark Entertainment"
"Veer-Zaara","Yash Raj Films"
"Redbelt","Sony Pictures Classics"
"Cyrus","Scott Free Productions"
"Auto Focus","Sony Pictures Classics"
"Auto Focus","Propaganda Films"
"Auto Focus","Good Machine"
"Factory Girl","The Weinstein Company"
"Factory Girl","L.I.F.T. Production"
"Factory Girl","Holly Wiersma Productions"
"We Need to Talk About Kevin","BBC Films"
"We Need to Talk About Kevin","Oscilloscope Laboratories"
"The Christmas Candle","Impact Productions LLC"
"The Christmas Candle","Pinewood Studios"
"The Christmas Candle","Big Book Media"
"The Christmas Candle","EchoLight Studios"
"Losin' It","Tijuana Productions"
"Losin' It","Tiberius Film Productions"
"Mother and Child","Mockingbird Pictures"
"Mother and Child","Everest Entertainment"
"March or Die","Associated General Films"
"March or Die","Sir Lew Grade"
"Les visiteurs","Canal Plus"
"Les visiteurs","Gaumont International"
"Les visiteurs","France 3 Cinema"
"Somewhere","American Zoetrope"
"Somewhere","Focus Features"
"Somewhere","Pathé!"
"Somewhere","Tohokushinsha"
"Chairman of the Board","101st Street Films"
"Hesher","DRO Entertainment"
"Hesher","The Last Picture Company"
"Hesher","CatchPlay"
"Hesher","Corner Store Entertainment"
"Hesher","Filmula"
"Hesher","Handsomecharlie Films"
"Hesher","American Work"
"Hesher","Dreamagine Entertainment"
"Dom Hemingway","BBC Films"
"Dom Hemingway","Isle of Man Film Commission"
"Dom Hemingway","Recorded Picture Company (RPC)"
"Dom Hemingway","Pinewood Studios"
"Gerry","Epsilon Motion Pictures"
"Gerry","Tango Films"
"Gerry","My Cactus"
"The Heart of Me","British Broadcasting Corporation (BBC)"
"Freeheld","Double Feature Films"
"Freeheld","Endgame Entertainment"
"Freeheld","High Frequency Entertainment"
"The Extra Man","Wild Bunch"
"The Extra Man","Likely Story"
"The Extra Man","Tax Credit Finance"
"The Extra Man","3 Arts Entertainment"
"Wah-Wah","Reeleyes Film"
"Wah-Wah","Wah Film Productions Ltd."
"Wah-Wah","Scion Films"
"Wah-Wah","Loma Nasha"
"The Boondock Saints","Franchise Pictures"
"The Boondock Saints","Brood Syndicate"
"The Boondock Saints","B.D.S. Productions Inc."
"Twixt","American Zoetrope"
"Pale Rider","Warner Bros."
"Pale Rider","Malpaso Company"
"Dazed and Confused","Gramercy Pictures"
"Dazed and Confused","Alphaville Productions"
"Dazed and Confused","The Criterion Collection"
"High School Musical 2","Disney Channel"
"Criminal Activities","NeeNee Productions"
"Criminal Activities","Capacity Pictures"
"Criminal Activities","May Day Movies"
"The Chumscrubber","Lawrence Bender Productions"
"The Chumscrubber","El Camino Pictures"
"The Chumscrubber","Go Fish Pictures"
"Shade","Cobalt Media Group"
"Shade","Judgement Pictures"
"Shade","Hammond Entertainment"
"House at the End of the Street","A Bigger Boat"
"House at the End of the Street","Relativity Media"
"House at the End of the Street","FilmNation Entertainment"
"Incendies","TS Productions"
"Incendies","Micro scope"
"Incendies","Phi Group"
"Ricordati di me","Fandango"
"Ricordati di me","Medusa Film"
"Ricordati di me","Tele+"
"Ricordati di me","Vice Versa Film"
"Tropa de Elite","The Weinstein Company"
"Tropa de Elite","Zazen Produções"
"Tropa de Elite","Estúdios Mega"
"Tropa de Elite","Quanta Centro de Produções Cinematográficas"
"Tropa de Elite","Costa Films"
"Tropa de Elite","Posto 9"
"Tropa de Elite","Feijão Filmes"
"Tropa de Elite","Universal Pictures do Brasil"
"Annabelle","New Line Cinema"
"Annabelle","The Safran Company"
"Annabelle","Evergreen Media Group"
"Annabelle","RatPac-Dune Entertainment"
"Boyz n the Hood","Columbia Pictures Corporation"
"La Bamba","Columbia Pictures Corporation"
"La Bamba","New Visions Pictures"
"The Four Seasons","Universal Pictures"
"Dressed to Kill","Filmways Pictures"
"Dressed to Kill","Cinema 77 Films"
"The Adventures of Huck Finn","Walt Disney Pictures"
"Go","Columbia Pictures"
"Friends with Money","Sony Pictures"
"The Andromeda Strain","Universal Pictures"
"Bats","Destination Films"
"Nirgendwo in Afrika","MTM Cineteve"
"Nirgendwo in Afrika","Bavaria Film"
"Nirgendwo in Afrika","Constantin Film Produktion"
"Nirgendwo in Afrika","Media Cooperation One"
"Shame","HanWay Films"
"Shame","UK Film Council"
"Shame","Alliance Films"
"Shame","See-Saw Films"
"Shame","Film4"
"Shame","Lipsync Productions"
"Layer Cake","Sony Pictures Classics"
"Layer Cake","Marv Films"
"The East","Scott Free Productions"
"A Home at the End of the World","Killer Films"
"A Home at the End of the World","Hart-Sharp Entertainment"
"Aberdeen","Filmfabriken Baltic Sea AB"
"The Messenger","Oscilloscope Laboratories"
"Tracker","T.H.E. Films"
"Tracker","Phoenix Wiley"
"Tracker","Eden Films"
"Control","Becker International"
"Control","Claraflora"
"Control","EM Media"
"Control","NorthSee"
"Control","Weinstein Company, The"
"The Terminator","Orion Pictures"
"The Terminator","Pacific Western"
"The Terminator","Hemdale Film"
"The Terminator","Cinema 84"
"The Terminator","Euro Film Funding"
"Good bye, Lenin!","WDR"
"Good bye, Lenin!","Arte"
"Good bye, Lenin!","X-Filme Creative Pool"
"The Damned United","BBC Films"
"The Damned United","Columbia Pictures Corporation"
"The Damned United","Screen Yorkshire"
"The Damned United","Left Bank Pictures"
"The Damned United","Screen Yorkshire Production Fund"
"The Return of the Living Dead","Hemdale Film Corporation"
"The Return of the Living Dead","Fox Films Ltd."
"The Return of the Living Dead","Cinema 84"
"Mallrats","Gramercy Pictures"
"Mallrats","Alphaville Films"
"Mallrats","View Askew Productions"
"Grease","Paramount Pictures"
"Grease","Robert Stigwood Organization (RSO)"
"Platoon","Orion Pictures"
"Platoon","Hemdale Film Corporation"
"Butch Cassidy and the Sundance Kid","Twentieth Century Fox Film Corporation"
"Butch Cassidy and the Sundance Kid","Campanile Productions"
"Butch Cassidy and the Sundance Kid","Newman-Foreman Productions"
"Mary Poppins","Walt Disney Productions"
"Ordinary People","Paramount Pictures"
"Ordinary People","Wildwood Enterprises"
"West Side Story","United Artists"
"West Side Story","Seven Arts"
"West Side Story","Mirisch Pictures"
"Caddyshack","Orion Pictures"
"Caddyshack","Warner Bros."
"The Wood","MTV Films"
"The Usual Suspects","Blue Parrot Productions"
"The Usual Suspects","Bad Hat Harry Productions"
"The Wrestler","Saturn Films"
"The Wrestler","Wild Bunch"
"The Wrestler","Protozoa Pictures"
"The Wrestler","Top Rope"
"Duel in the Sun","The Selznik Studio"
"Duel in the Sun","Vanguard Films"
"Best in Show","Castle Rock Entertainment"
"Escape from New York","AVCO Embassy Pictures"
"Escape from New York","Goldcrest Films International"
"Escape from New York","International Film Investors"
"Escape from New York","City Film"
"School Daze","Columbia Pictures"
"School Daze","40 Acres & A Mule Filmworks"
"Daddy Day Camp","Revolution Studios"
"Daddy Day Camp","TriStar Pictures"
"A Mighty Wind","Castle Rock Entertainment"
"Mystic Pizza","Night Light Films"
"Mystic Pizza","The Samuel Goldwyn Company"
"Sliding Doors","Paramount Pictures"
"Sliding Doors","Miramax Films"
"Sliding Doors","Intermedia Films"
"Sliding Doors","Mirage Enterprises"
"Tales from the Hood","40 Acres & A Mule Filmworks"
"Tales from the Hood","Savoy Pictures"
"The Last King of Scotland","Fox Searchlight Pictures"
"The Last King of Scotland","Cowboy Films"
"The Last King of Scotland","DNA Films"
"The Last King of Scotland","Scottish Screen"
"The Last King of Scotland","UK Film Council"
"The Last King of Scotland","Filmfour"
"The Last King of Scotland","Slate Films"
"The Last King of Scotland","Tatfilm"
"Bernie","Castle Rock Entertainment"
"Bernie","Horsethief Pictures"
"Bernie","Mandalay Vision"
"Bernie","Wind Dancer Productions"
"Bernie","Detour Filmproduction"
"Pollock","Fred Berner Films"
"Pollock","Zeke Productions"
"200 Cigarettes","Paramount Pictures"
"The Words","CBS Films"
"The Words","Also Known As Pictures"
"Casa De Mi Padre","NALA Films"
"Casa De Mi Padre","Gary Sanchez Productions"
"Casa De Mi Padre","Lions Gate"
"City Island","Lucky Monkey Pictures"
"City Island","CineSon Entertainment"
"City Island","Filmsmith Productions"
"City Island","Medici Entertainment"
"City Island","Gremi Film Production"
"The Guard","UK Film Council"
"The Guard","Crescendo Productions"
"The Guard","Element Pictures"
"The Guard","Irish Film Board"
"The Guard","Prescience"
"The Guard","Reprisal Films"
"The Guard","Aegis Film Fund"
"College","Metro-Goldwyn-Mayer (MGM)"
"The Virgin Suicides","American Zoetrope"
"Little Voice","Miramax Films"
"Miss March","The Jacobson Company"
"Wish I Was Here","Double Feature Films"
"Wish I Was Here","Wild Bunch"
"Wish I Was Here","Worldview Entertainment"
"Simply Irresistible","New Regency Pictures"
"Simply Irresistible","Taurus Film"
"Simply Irresistible","Polar Entertainment Corporation"
"Hedwig and the Angry Inch","New Line Cinema"
"Hedwig and the Angry Inch","Killer Films"
"Only the Strong","Davis Films"
"Only the Strong","Freestone Pictures"
"Goddess of Love","Dalia Films"
"Shattered Glass","Lions Gate Films"
"Shattered Glass","Cruise/Wagner Productions"
"Shattered Glass","Baumgarten Merims Productions"
"Novocaine","Numb Gums Production Inc."
"The Business of Strangers","i5 Films"
"The Business of Strangers","Headquarters"
"The Wild Bunch","Warner Brothers/Seven Arts"
"The Wackness","SBK Pictures"
"The Wackness","Occupant Entertainment"
"The First Great Train Robbery","United Artists"
"The First Great Train Robbery","Starling Films"
"Morvern Callar","Company Pictures"
"The 5th Quarter","McCreary Entertainment"
"The 5th Quarter","Angel City Pictures"
"The Greatest","Irish Dreamtime"
"The Greatest","Silverwood Films"
"The Greatest","Tax Credit Finance"
"The Greatest","Oceana Media Finance"
"The Greatest","Barbarian Films"
"Snow Flower and the Secret Fan","IDG China Media"
"Come Early Morning","Firm Films"
"Come Early Morning","Bold Films"
"Come Early Morning","Holly Wiersma Productions"
"Julia","Twentieth Century Fox Film Corporation"
"Men of War","Signature Pictures"
"Men of War","MDP Worldwide"
"Men of War","Pomarance Corporation"
"Don McKay","Animus Films"
"Deadfall","StudioCanal"
"Deadfall","Mutual Film Company"
"Deadfall","2929 Productions"
"Deadfall","Magnolia Pictures"
"Deadfall","Madhouse Entertainment"
"A Shine of Rainbows","Octagon Films"
"A Shine of Rainbows","Sepia Films"
"The Hit List","North by Northwest Entertainment"
"Videodrome","Universal Pictures"
"Videodrome","Famous Players Ltd"
"Videodrome","Guardian Trust Company"
"Videodrome","Filmplan International II"
"L'Auberge espagnole","Mate Producciones S.A."
"Song One","Worldview Entertainment"
"Oorlogswinter","Max TV"
"Oorlogswinter","Prime Time"
"Oorlogswinter","Isabella Films B.V."
"Oorlogswinter","Fu Works"
"Oorlogswinter","Isabella Films"
"Freaky Deaky","Final Cut Productions"
"Freaky Deaky","The Matthau Company"
"The Train","Les Productions Artistes Associés"
"The Train","Les Films Ariane"
"The Train","Dear Film Produzione"
"Bend It Like Beckham","Fox Searchlight Pictures"
"Bend It Like Beckham","Kintop Pictures"
"Bend It Like Beckham","Filmförderung Hamburg"
"Bend It Like Beckham","UK Film Council"
"Crossover","360 Pictures"
"Crossover","Dribble Productions"
"Crossover","Platinum Equity"
"The Sting","Universal Pictures"
"Chariots of Fire","Twentieth Century Fox Film Corporation"
"Chariots of Fire","Warner Bros."
"Chariots of Fire","Enigma Productions"
"Chariots of Fire","The Ladd Company"
"Chariots of Fire","Allied Stars, Ltd."
"Diary of a Mad Black Woman","Lions Gate Films"
"Shine","Fine Line Features"
"Shine","Australian Film Finance Corporation (AFFC)"
"Shine","Film Victoria"
"Shine","South Australian Feature Film Company"
"Don Jon","Voltage Pictures"
"Don Jon","Ram Bergman Productions"
"Don Jon","HitRecord Films"
"High Plains Drifter","Universal Pictures"
"High Plains Drifter","Malpaso Productions"
"Ghost World","United Artists"
"Ghost World","Jersey Films"
"Ghost World","Granada Film Productions"
"Ghost World","Capitol Films"
"Ghost World","Mr. Mudd Production"
"Iris","Miramax Films"
"Iris","BBC Films"
"Iris","Intermedia Films"
"Galaxina","Marimark Productions"
"Les Choristes","France 2 Cinéma"
"Les Choristes","Galatée Films"
"Les Choristes","Pathé Renn Productions"
"Les Choristes","Novo Arturo Films"
"Les Choristes","Vega Film"
"Mambo Italiano","icon"
"Wonderland","Lions Gate Films"
"Do the Right Thing","Universal Pictures"
"Do the Right Thing","40 Acres & A Mule Filmworks"
"Harvard Man","Lions Gate Films"
"Harvard Man","Worldwide Media"
"R100","Warner Bros."
"R100","Yoshimoto Kogyo Company"
"Rang De Basanti","Flicks Motion Pictures"
"Rang De Basanti","UTV Motion Pictures"
"Salvation Boulevard","Mandalay Vision"
"The Ten","Ascot Elite Home Entertainment"
"Hodejegerne","Nordisk Film"
"Hodejegerne","Yellow Bird Films"
"Hodejegerne","Friland Produksjon"
"Hodejegerne","ARD Degeto Film"
"Grabbers","Irish Film Board"
"Grabbers","Samson Films"
"Grabbers","Forward Films"
"Grabbers","High Treason Productions"
"Grabbers","Nvizible"
"Saint Ralph","Alliance Atlantis Communications"
"Saint Ralph","Amaze Film + Television"
"Saint Ralph","Running Miracles Productions"
"Miss Julie","Maipo Film- og TV Produksjon"
"Somewhere in Time","Rastar Pictures"
"Saw II","Lions Gate Films"
"Saw II","Got Films"
"Saw II","Twisted Pictures"
"Saw II","Evolution Entertainment"
"Saw II","Saw 2 Productions"
"10 Cloverfield Lane","Paramount Pictures"
"10 Cloverfield Lane","Bad Robot"
"10 Cloverfield Lane","Spectrum Effects"
"Lights Out","New Line Productions"
"Lights Out","Matter Productions"
"Lights Out","Atomic Monster"
"Paranormal Activity 3","Paramount Pictures"
"Paranormal Activity 3","Blumhouse Productions"
"Paranormal Activity 3","Room 101"
"Paranormal Activity 3","Solana Films"
"Ouija","Universal Pictures"
"Ouija","Dentsu Inc."
"Ouija","Platinum Dunes"
"Ouija","Media Rights Capital"
"Ouija","Blumhouse Productions"
"Ouija","Fuji Television Network"
"Ouija","Hasbro Studios"
"Ouija","5150 Action"
"Ouija","White Noise Factory"
"No se Aceptan Devoluciones","Filmax"
"No se Aceptan Devoluciones","Signature Entertainment"
"No se Aceptan Devoluciones","Pinema"
"No se Aceptan Devoluciones","Pantelion Films"
"Paranormal Activity 4","Paramount Pictures"
"Paranormal Activity 4","Blumhouse Productions"
"Paranormal Activity 4","Room 101"
"Paranormal Activity 4","Solana Films"
"The Robe","Twentieth Century Fox Film Corporation"
"The Return of the Pink Panther","United Artists"
"The Return of the Pink Panther","Jewel Productions"
"The Return of the Pink Panther","Pimlico Films"
"The Return of the Pink Panther","Incorporated Television Company (ITC)"
"Monster","Newmarket Films"
"20,000 Leagues Under the Sea","Walt Disney Productions"
"The Elephant Man","Brooksfilms"
"Dallas Buyers Club","Universal Studios"
"Dallas Buyers Club","Universal Pictures"
"Dallas Buyers Club","Voltage Pictures"
"Dallas Buyers Club","Truth Entertainment"
"The Lazarus Effect","Lionsgate"
"The Lazarus Effect","Blumhouse Productions"
"The Lazarus Effect","Chapter One Films"
"Memento","Summit Entertainment"
"Memento","Newmarket Capital Group"
"Memento","Team Todd"
"Memento","I Remember Productions"
"Oculus","Intrepid Pictures"
"Oculus","Blumhouse Productions"
"Oculus","Relativity Media"
"Oculus","WWE Studios"
"Oculus","MICA Entertainment"
"Clerks II","The Weinstein Company"
"Clerks II","View Askew Productions"
"Billy Elliot","BBC Films"
"Billy Elliot","Tiger Aspect Productions"
"Billy Elliot","StudioCanal"
"Billy Elliot","Arts Council of England"
"Billy Elliot","Working Title Films"
"Billy Elliot","WT2 Productions"
"The Way Way Back","Fox Searchlight Pictures"
"The Way Way Back","Odd Lot Entertainment"
"The Way Way Back","Sycamore Pictures"
"The Man from Snowy River","Cambridge Productions"
"Doug's 1st Movie","Walt Disney Pictures"
"The Apostle","Butcher's Run Productions"
"Mommie Dearest","Paramount Pictures"
"Our Idiot Brother","The Weinstein Company"
"Our Idiot Brother","Likely Story"
"Our Idiot Brother","Big Beach Films"
"Our Idiot Brother","Yuk Films"
"Race","Forecast Pictures"
"Race","Solofilms"
"Race","JoBro Productions & Film Finance"
"Race","Trinity Race"
"The Players Club","New Line Cinema"
"As Above, So Below","Universal Pictures"
"As Above, So Below","Legendary Pictures"
"As Above, So Below","Brothers Dowdle Productions"
"Addicted","Lionsgate"
"Addicted","Codeblack Entertainment"
"Still Alice","Killer Films"
"Still Alice","Big Indie Pictures"
"Still Alice","Backup Media"
"Still Alice","BSM Studio"
"The Egyptian","Twentieth Century Fox Film Corporation"
"Nighthawks","Universal Pictures"
"Nighthawks","Martin Poll Productions"
"Nighthawks","The Production Company"
"My Big Fat Greek Wedding","Home Box Office (HBO)"
"My Big Fat Greek Wedding","Playtone"
"My Big Fat Greek Wedding","Gold Circle Films"
"My Big Fat Greek Wedding","Ontario Film Development Corporation"
"My Big Fat Greek Wedding","MPH Entertainment Productions"
"Spring Breakers","RabbitBandini Productions"
"Spring Breakers","Division Films"
"Spring Breakers","Pop Films"
"Spring Breakers","Radar Pictures"
"Spring Breakers","Muse Productions"
"Spring Breakers","MJZ"
"Spring Breakers","O' Salvation"
"Spring Breakers","Iconoclast"
"Shaun of the Dead","Universal Pictures"
"Shaun of the Dead","Big Talk Productions"
"Shaun of the Dead","StudioCanal"
"Shaun of the Dead","Film4"
"Shaun of the Dead","Working Title Films"
"Shaun of the Dead","WT2 Productions"
"Shaun of the Dead","De Wolfe Music"
"Shaun of the Dead","Inside Track 2"
"The Haunting of Molly Hartley","Freestyle Releasing"
"The Haunting of Molly Hartley","Liddell Entertainment"
"Lone Star","Castle Rock Entertainment"
"Lone Star","Columbia Pictures Corporation"
"Lone Star","Rio Dulce"
"April Fool's Day","Paramount Pictures"
"April Fool's Day","Hometown Films"
"April Fool's Day","YCTM"
"Diner","Metro-Goldwyn-Mayer (MGM)"
"Lone Wolf McQuade","1818"
"Lone Wolf McQuade","Lone Wolf McQuade Associates"
"Lone Wolf McQuade","Topkick Productions"
"Apollo 18","Bazelevs Production"
"Apollo 18","Dimension Films"
"Apollo 18","Bekmambetov Projects Ltd."
"Sunshine Cleaning","Back Lot Pictures"
"Sunshine Cleaning","Overture Films"
"Sunshine Cleaning","Big Beach Films"
"No Escape","Bold Films"
"No Escape","Living Films"
"No Escape","Brothers Dowdle Productions"
"The Beastmaster","Antares Produzione Cinematografica"
"The Beastmaster","Metro-Goldwyn-Mayer (MGM)"
"Solomon and Sheba","Edward Small Productions"
"Fifty Shades of Black","Open Road Films (II)"
"A Farewell to Arms","Paramount Pictures"
"The Perfect Match","Lionsgate"
"The Perfect Match","Jorva Entertainment Productions"
"Les Invasions barbares","Pyramide Productions"
"Les Invasions barbares","Cinémaginaire Inc."
"Les Invasions barbares","Téléfilm Canada"
"Les Invasions barbares","The Harold Greenberg Fund"
"Les Invasions barbares","Astral Films"
"Les Invasions barbares","Canal+"
"Les Invasions barbares","Société Radio-Canada"
"Les Invasions barbares","Société de Développement des Entreprises Culturelles (SODEC)"
"Les Invasions barbares","Centre National de la Cinématographie (CNC)"
"Robin and Marian","Columbia Pictures Corporation"
"Robin and Marian","Rastar Pictures"
"The Forsaken","Screen Gems"
"The Forsaken","Sony Pictures Entertainment"
"The Forsaken","Egmont Film"
"The Forsaken","Columbia TriStar Home Entertainment"
"Force 10 from Navarone","Columbia Pictures Corporation"
"UHF","Orion Pictures"
"UHF","Cinecorp"
"Grandma's Boy","Twentieth Century Fox Film Corporation"
"Grandma's Boy","Happy Madison Productions"
"Slums of Beverly Hills","Fox Searchlight Pictures"
"C'era una volta il West","Paramount Pictures"
